"date","deaths_WMR","deaths_EMR","deaths_CMR","arrivals_CMR","arrivals_WMR","arrivals_EMR"
2009-01-01,1,NA,NA,1491,508,2730
2009-01-02,14,NA,NA,1491,508,2730
2009-01-03,NA,NA,300,1491,508,2730
2009-01-06,1,NA,NA,1491,508,2730
2009-01-07,1,NA,NA,1491,508,2730
2009-01-11,NA,1,NA,1491,508,2730
2009-01-12,NA,1,NA,1491,508,2730
2009-01-13,4,NA,NA,1491,508,2730
2009-01-18,NA,NA,31,1491,508,2730
2009-01-20,NA,NA,10,1491,508,2730
2009-01-21,NA,NA,1,1491,508,2730
2009-01-24,12,NA,NA,1491,508,2730
2009-01-27,NA,5,NA,1491,508,2730
2009-01-28,NA,NA,8,1491,508,2730
2009-01-30,1,NA,NA,1491,508,2730
2009-02-20,2,NA,NA,1221,302,2228
2009-02-28,NA,1,NA,1221,302,2228
2009-03-03,NA,NA,2,2519,656,2870
2009-03-06,1,NA,NA,2519,656,2870
2009-03-07,12,NA,NA,2519,656,2870
2009-03-15,NA,NA,11,2519,656,2870
2009-03-16,1,NA,NA,2519,656,2870
2009-03-18,NA,NA,67,2519,656,2870
2009-03-21,4,NA,NA,2519,656,2870
2009-03-22,NA,1,NA,2519,656,2870
2009-03-25,14,NA,NA,2519,656,2870
2009-03-28,NA,NA,800,2519,656,2870
2009-04-02,NA,NA,2,1981,423,3298
2009-04-05,25,NA,NA,1981,423,3298
2009-04-07,1,NA,NA,1981,423,3298
2009-04-15,NA,NA,1,1981,423,3298
2009-04-22,4,NA,NA,1981,423,3298
2009-04-29,1,NA,NA,1981,423,3298
2009-05-01,NA,NA,1,610,557,3750
2009-05-18,1,NA,NA,610,557,3750
2009-05-21,NA,NA,1,610,557,3750
2009-06-02,2,NA,NA,107,740,3880
2009-06-03,18,NA,NA,107,740,3880
2009-06-09,NA,1,7,107,740,3880
2009-06-10,NA,6,NA,107,740,3880
2009-06-16,4,NA,NA,107,740,3880
2009-06-18,1,NA,NA,107,740,3880
2009-06-28,9,NA,NA,107,740,3880
2009-07-16,1,NA,NA,504,671,3920
2009-07-21,1,NA,NA,504,671,3920
2009-07-23,1,NA,NA,504,671,3920
2009-07-26,1,NA,NA,504,671,3920
2009-08-07,NA,NA,12,562,714,4272
2009-08-09,NA,NA,1,562,714,4272
2009-08-10,1,NA,NA,562,714,4272
2009-08-12,NA,2,NA,562,714,4272
2009-08-16,27,NA,NA,562,714,4272
2009-08-19,NA,NA,72,562,714,4272
2009-08-21,NA,NA,1,562,714,4272
2009-08-26,NA,NA,1,562,714,4272
2009-08-27,NA,NA,1,562,714,4272
2009-09-11,1,NA,NA,583,338,3979
2009-09-18,28,NA,NA,583,338,3979
2009-10-06,NA,NA,6,942,1036,3969
2009-10-09,NA,1,NA,942,1036,3969
2009-10-25,NA,NA,1,942,1036,3969
2009-10-26,NA,17,1,942,1036,3969
2009-10-28,3,NA,NA,942,1036,3969
2009-11-01,NA,1,NA,400,390,2430
2009-11-05,NA,7,NA,400,390,2430
2009-11-15,NA,NA,10,400,390,2430
2009-11-17,1,NA,NA,400,390,2430
2009-11-19,1,NA,NA,400,390,2430
2009-12-07,NA,2,NA,123,307,2647
2009-12-08,1,NA,NA,123,307,2647
2009-12-11,NA,2,NA,123,307,2647
2009-12-12,16,NA,NA,123,307,2647
2009-12-30,NA,22,NA,123,307,2647
2009-12-31,20,NA,NA,123,307,2647
2010-01-04,NA,1,NA,52,214,2006
2010-01-05,NA,16,NA,52,214,2006
2010-01-07,1,NA,NA,52,214,2006
2010-01-08,3,NA,NA,52,214,2006
2010-02-09,NA,NA,5,0,66,2177
2010-03-04,1,NA,NA,95,213,3086
2010-03-20,NA,NA,3,95,213,3086
2010-03-27,NA,1,NA,95,213,3086
2010-03-31,NA,19,NA,95,213,3086
2010-04-02,NA,NA,2,102,211,3334
2010-04-12,11,NA,NA,102,211,3334
2010-04-17,1,4,NA,102,211,3334
2010-05-12,1,NA,NA,131,309,3943
2010-05-25,NA,2,NA,131,309,3943
2010-05-29,NA,NA,20,131,309,3943
2010-06-24,NA,2,NA,358,453,4495
2010-06-30,NA,18,NA,358,453,4495
2010-07-06,NA,2,NA,719,440,5007
2010-07-07,2,NA,NA,719,440,5007
2010-07-09,1,NA,NA,719,440,5007
2010-07-11,NA,2,NA,719,440,5007
2010-07-27,2,NA,NA,719,440,5007
2010-08-05,NA,4,NA,805,913,7116
2010-08-08,NA,NA,43,805,913,7116
2010-08-26,37,NA,NA,805,913,7116
2010-08-27,2,NA,NA,805,913,7116
2010-08-28,NA,NA,2,805,913,7116
2010-08-30,2,NA,NA,805,913,7116
2010-09-03,3,NA,NA,652,846,7714
2010-09-10,1,NA,NA,652,846,7714
2010-09-30,NA,2,NA,652,846,7714
2010-10-13,NA,1,NA,557,543,8229
2010-11-01,NA,8,NA,681,296,4852
2010-11-02,1,NA,NA,681,296,4852
2010-11-03,5,NA,NA,681,296,4852
2010-11-06,5,NA,NA,681,296,4852
2010-11-07,11,NA,NA,681,296,4852
2010-11-11,1,NA,NA,681,296,4852
2010-12-07,1,NA,NA,298,499,3729
2010-12-27,1,NA,NA,298,499,3729
2011-01-02,3,NA,2,359,426,2350
2011-01-03,NA,NA,85,359,426,2350
2011-01-05,NA,NA,1,359,426,2350
2011-01-06,1,NA,NA,359,426,2350
2011-01-07,NA,NA,25,359,426,2350
2011-01-11,11,1,NA,359,426,2350
2011-01-16,NA,NA,2,359,426,2350
2011-01-17,NA,NA,1,359,426,2350
2011-01-21,1,NA,NA,359,426,2350
2011-01-22,1,NA,NA,359,426,2350
2011-01-25,1,NA,NA,359,426,2350
2011-02-02,1,NA,NA,6010,253,1861
2011-02-05,NA,NA,270,6010,253,1861
2011-02-14,6,NA,NA,6010,253,1861
2011-02-24,1,NA,NA,6010,253,1861
2011-02-25,15,NA,NA,6010,253,1861
2011-02-26,1,NA,NA,6010,253,1861
2011-03-03,1,NA,NA,17062,211,2284
2011-03-04,NA,19,NA,17062,211,2284
2011-03-11,NA,NA,1,17062,211,2284
2011-03-13,NA,NA,88,17062,211,2284
2011-03-16,NA,NA,3,17062,211,2284
2011-03-17,NA,3,NA,17062,211,2284
2011-03-21,NA,1,NA,17062,211,2284
2011-03-24,NA,NA,305,17062,211,2284
2011-03-26,NA,NA,308,17062,211,2284
2011-03-27,NA,NA,38,17062,211,2284
2011-03-28,NA,NA,120,17062,211,2284
2011-03-30,NA,NA,70,17062,211,2284
2011-03-31,NA,NA,1,17062,211,2284
2011-04-02,NA,NA,254,10137,295,3194
2011-04-07,NA,NA,100,10137,295,3194
2011-04-12,NA,NA,496,10137,295,3194
2011-04-15,NA,NA,1,10137,295,3194
2011-04-16,NA,NA,1,10137,295,3194
2011-04-17,NA,NA,1,10137,295,3194
2011-04-29,NA,NA,1,10137,295,3194
2011-05-04,25,NA,NA,10680,565,4013
2011-05-06,NA,NA,1,10680,565,4013
2011-05-08,24,NA,603,10680,565,4013
2011-05-09,NA,NA,17,10680,565,4013
2011-05-10,NA,NA,63,10680,565,4013
2011-05-15,1,NA,NA,10680,565,4013
2011-05-20,NA,NA,330,10680,565,4013
2011-05-21,1,NA,NA,10680,565,4013
2011-05-22,NA,NA,4,10680,565,4013
2011-05-28,NA,NA,7,10680,565,4013
2011-05-31,NA,2,NA,10680,565,4013
2011-06-02,NA,18,NA,5351,709,3931
2011-06-03,NA,NA,220,5351,709,3931
2011-06-04,NA,NA,74,5351,709,3931
2011-06-11,1,1,5,5351,709,3931
2011-06-23,NA,NA,1,5351,709,3931
2011-06-24,46,NA,1,5351,709,3931
2011-06-28,1,NA,NA,5351,709,3931
2011-07-11,54,NA,NA,3103,1473,5629
2011-07-12,1,NA,NA,3103,1473,5629
2011-07-28,NA,NA,30,3103,1473,5629
2011-07-31,NA,1,NA,3103,1473,5629
2011-08-07,2,NA,NA,7308,1363,6556
2011-08-13,NA,NA,3,7308,1363,6556
2011-08-18,NA,NA,2,7308,1363,6556
2011-08-23,NA,1,NA,7308,1363,6556
2011-08-30,1,NA,NA,7308,1363,6556
2011-09-01,14,NA,NA,2262,732,7081
2011-09-05,1,NA,NA,2262,732,7081
2011-09-10,2,NA,43,2262,732,7081
2011-09-12,NA,NA,17,2262,732,7081
2011-09-13,1,NA,NA,2262,732,7081
2011-09-20,NA,4,NA,2262,732,7081
2011-10-03,NA,NA,63,511,1169,9943
2011-10-11,NA,4,NA,511,1169,9943
2011-10-23,3,NA,NA,511,1169,9943
2011-10-30,1,NA,NA,511,1169,9943
2011-11-01,1,NA,35,707,560,6208
2011-11-03,NA,NA,1,707,560,6208
2011-11-22,3,NA,NA,707,560,6208
2011-11-23,NA,2,NA,707,560,6208
2011-11-27,1,NA,NA,707,560,6208
2011-12-01,NA,NA,6,771,692,3975
2011-12-03,NA,NA,1,771,692,3975
2011-12-06,NA,NA,2,771,692,3975
2011-12-18,1,NA,NA,771,692,3975
2011-12-23,1,NA,NA,771,692,3975
2011-12-26,NA,3,NA,771,692,3975
2011-12-31,NA,3,NA,771,692,3975
2012-01-03,NA,NA,7,479,349,3035
2012-01-04,NA,NA,7,479,349,3035
2012-01-09,1,NA,NA,479,349,3035
2012-01-14,NA,NA,56,479,349,3035
2012-01-19,4,NA,NA,479,349,3035
2012-01-21,1,NA,NA,479,349,3035
2012-01-24,NA,NA,55,479,349,3035
2012-01-29,NA,1,NA,479,349,3035
2012-02-02,31,NA,NA,235,135,2411
2012-02-20,1,2,NA,235,135,2411
2012-02-28,NA,3,NA,235,135,2411
2012-02-29,NA,1,NA,235,135,2411
2012-03-14,NA,1,NA,875,483,2774
2012-03-15,NA,NA,5,875,483,2774
2012-03-16,NA,1,NA,875,483,2774
2012-03-28,NA,1,NA,875,483,2774
2012-03-30,NA,NA,10,875,483,2774
2012-04-03,NA,NA,10,359,349,4002
2012-04-27,NA,NA,1,359,349,4002
2012-04-28,NA,2,NA,359,349,4002
2012-04-30,1,NA,NA,359,349,4002
2012-05-02,1,NA,NA,1422,643,4969
2012-05-06,NA,NA,3,1422,643,4969
2012-05-07,NA,NA,7,1422,643,4969
2012-05-24,NA,NA,11,1422,643,4969
2012-05-25,NA,NA,20,1422,643,4969
2012-06-08,NA,125,NA,1904,557,5154
2012-06-11,NA,NA,2,1904,557,5154
2012-06-28,NA,NA,1,1904,557,5154
2012-07-01,NA,1,NA,1630,441,7055
2012-07-08,NA,NA,79,1630,441,7055
2012-07-31,1,NA,NA,1630,441,7055
2012-08-09,1,NA,NA,2421,842,2897
2012-08-15,NA,NA,2,2421,842,2897
2012-08-17,NA,1,NA,2421,842,2897
2012-08-18,NA,NA,39,2421,842,2897
2012-08-25,NA,NA,40,2421,842,2897
2012-08-28,NA,7,NA,2421,842,2897
2012-09-09,2,NA,NA,1272,719,1121
2012-09-13,NA,NA,1,1272,719,1121
2012-09-16,1,NA,NA,1272,719,1121
2012-09-17,1,NA,NA,1272,719,1121
